"Data Source","World Development Indicators",

"Last Updated Date","2018-09-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Denmark","DNK","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.14649009700071","1.31298198569687","1.6674334334046","0.924589534137072","0.977353957005448","1.08589951984519","0.970500154720121","1.04228688164702","1.20661566951948","0.795889361013748","0.977552805373663","0.532666899693129","0.712985495132777","0.982211959521954","0.850455998220918","0.75609684088338","0.823948529726541","0.837691109423847","0.851393367326396","1.2888613774856","0.984408550642986","0.980681382327848","",
"Denmark","DNK","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.14641359050158","1.24058601466145","1.64237199424869","1.3584321686474","1.01029378296604","1.36363957976745","0.716769337695244","0.844421193056963","1.35078836511616","1.15642990895291","0.725614895132321","1.11852504792519","1.11242848161407","1.24931376979359","1.49165737340446","1.16656909906929","1.16215223436344","",
"Denmark","DNK","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.02662874165866","0.705848822460537","0.454071346697479","1.05775461333346","0.585583990657475","0.598668828961911","0.351896735538925","0.583844488789311","0.619810115104314","0.549366765468079","0.786116889864309","0.533548839637984","0.566579260012075","0.458347171892177","1.08838378518815","0.804227579621153","0.801182612619428","",
"Denmark","DNK","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","23.5664018119716","22.8685587434446","23.2617529719496","24.1466644961839","","","21.5272910537912","24.5653071214212","25.8183501132947","25.9777299885139","24.9343809927034","28.3173595616314","28.6275354034493","25.3014446315722","24.386658697053","26.2205543740231","24.1735090346978","28.0109549667549","24.9498236280697","24.3185520926787","24.3296707262782","20.9285441490763","22.4733010702127","21.2722394367089","18.5072966304962","15.4768376743807","15.9280423815083","17.9677685495986","16.6431780968704","15.5685429054808","12.0525333297887","10.5642247412121","9.52578540459836","8.58252002871446","9.95748904005196","9.49361567847574","10.1805322131001","9.69623834106864","10.0356032454249","10.4428388373993","10.424210969199","11.7621644568048","11.3280153478116",
"Denmark","DNK","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","32.0715695937389","32.7525133841167","34.0016031863262","32.5709076522704","","","45.2694084695267","43.4534412075847","46.3297587849269","43.3272488402537","39.6635486199429","35.9620175021429","31.763435541807","32.7487549259133","37.5323015588572","32.4525852145628","32.2551685309541","34.8498561017547","43.1350136163453","45.1892066166596","44.6411998712548","43.9816132601878","49.9761036998813","47.9879533242593","38.1206671036092","45.484492896558","44.909458792109","41.2059183527298","44.275425541284","47.072507527906","61.9537937862071","62.832926197836","63.7165732400865","63.6430614782724","56.9680977160844","62.1716671573158","60.2552692225008","59.8830011003646","60.5561892782875","60.8838253130256","57.2380151876731","52.373783191064","54.6706335155013",
"Denmark","DNK","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.450608860961","14.6132500800315","15.536729120369","15.0401811315739","14.8345118141011","15.1530590836114","16.7832004690996","15.9929651358247","16.8884966661708","18.4261859649497","18.2287104301994","19.9853287049454","21.4365711641397","20.822278072111","22.4563201224077","20.1969610491592","20.3124086387329","19.6068233163444","18.4472463403407","16.9793492397971","15.575972639633","17.5020208023597","13.9370230041019","13.7468207642159","14.2161079727433","14.3299354286297","14.4205665622217","15.9628968014638","15.6724044174006","",
"Denmark","DNK","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2213757474","2405121599","3255151603","3191576923","3587812275","3255458748","4048539560","4663250471","4899835067","5678362296","5648612310","6487722405","6752348446","6904684053","8313257009","8648725467","9971737472","10163186455","10461505789","11177588910","11444550232","10414112654","8113595952","9359227447","8742028850","9226707230","9762544928","9375393736","9302857743","",
